نفزة,مجاز الباب,قبلاط,عمدون,تيبار,تستور,تبرسق,باجة الشمالية,باجة الجنوبية,list
300,868,191,165,187,624,379,1089,608,قائمة حزب الاتحاد الوطني الحر
98,99,37,60,39,95,47,130,82,قائمة حركة وفاء
24,172,18,27,11,37,18,58,19,قائمة حزب الإصلاح والتنمية
71,55,23,34,16,53,22,124,69,قائمة حزب التحالف الديمقراطي
3025,2497,331,931,630,1644,1221,4285,2310,قائمة حزب حركة النهضة
25,21,8,14,12,23,17,38,16,قائمة حزب الانفتاح والوفاء
30,22,8,23,23,12,9,51,121,قائمة الطريق المستقيم
28,28,3,273,2,14,15,82,41,قائمة الجبهة الوطنية للإنقاذ
50,130,21,41,296,121,57,269,461,قائمة الحزب الجمهوري
110,140,18,21,20,99,33,233,162,قائمة الحركة الدستورية
87,68,18,35,7,57,23,37,24,قائمة تونس العزيزة
135,41,16,24,8,28,36,77,40,قائمة الإرادة
113,107,31,72,29,89,59,163,95,قائمة الفلاح
51,36,13,31,17,41,21,144,37,قائمةحزب الجبهة الوطنية التونسية
21,18,8,12,13,9,11,27,67,قائمة الطموح والإصلاح
32,49,25,19,9,45,25,127,48,قائمة أحرار باجة
12,8,4,3,4,9,24,11,5,قائمة اتحاد القوى الشبابية
20,22,9,15,5,17,56,27,17,قائمة إرادة الحياة
19,17,10,10,10,11,13,38,11,قائمة الشعب يريد
238,295,64,134,52,344,338,717,400,قائمة الجبهة الشعبية
27,33,9,197,5,29,12,65,26,قائمة حزب البناء الوطني
38,40,106,34,8,19,8,25,20,قائمة حزب المحافظين التونسيين الجدد
2196,4300,515,2116,1120,4134,2156,8614,5306,قائمة حركة نداء تونس
38,72,15,24,16,36,13,39,21,قائمة التحدي
29,25,19,20,25,22,13,40,10,قائمة حزب الغد
27,26,17,24,13,22,17,72,47,قائمة المستقبل
71,49,37,47,10,89,51,74,38,قائمة تيار المحبة
21,24,12,12,7,17,9,63,27,قائمة حزب المجد
23,36,22,16,4,26,47,35,34,قائمة الحزب الاسلامي التونس ي
73,43,20,54,24,76,38,147,71,قائمة حزب تونس للجميع
27,15,3,21,8,12,14,57,73,قائمة حركة الديمقراطيين الاشتراكيين
106,20,7,23,5,44,10,20,11,قائمة حزب النور للديمقراطية والتنمية
70,47,9,30,10,31,26,70,59,قائمة حركة التونس ي
68,260,59,60,41,124,110,299,172,قائمة حزب المؤتمر من أجل الجمهورية
19,5,6,14,4,20,13,20,11,قائمة حزب القوة العمالية
34,127,23,27,20,143,48,354,247,قائمة حزب التيار الديمقراطي
25,10,10,13,4,14,10,30,16,قائمة المستقلون الأحرار
42,36,6,10,8,20,14,20,16,قائمة حزب الخضر للتقدم
79,220,25,69,36,295,134,367,277,قائمة حزب المبادرة
131,43,18,50,12,57,28,126,62,قائمة حزب العدالة والتنمية
63,13,7,17,4,18,7,69,19,قائمة حزب اللقاء الدستوري
6074,343,46,232,22,186,39,485,171,قائمة حركة الشعب
