قبلي الشمالية,قبلي الجنوبية,الفوار,سوق الاحد,دوز الشمالية,دوز الجنوبية,list
108,134,28,46,24,25,قائمة نفزاوة أولا
56,47,22,117,26,17,قائمة حزب الثقافة والعمل
33,186,49,41,48,47,قائمة حزب المؤتمر الشعبي
32,41,20,73,12,26,قائمة الكرامة
77,167,28,30,13,14,قائمة الحركة الدستورية
66,86,21,38,26,28,قائمة حركة وفاء
77,122,233,58,17,22,قائمة التحدي
31,24,21,16,11,16,قائمة المعتدلة المستقلة
1024,178,65,142,109,100,قائمة الجبهة الشعبية
21,26,15,31,18,46,قائمة العلم
72,81,17,28,18,30,قائمة الإصلاح والمصالحة
20,26,13,15,19,13,قائمة حركة الديمقراطيين الاشتراكيين
69,23,20,69,23,18,قائمة حركة التونس ي
1106,772,642,3438,1513,1018,قائمة حركة الشعب
177,86,39,50,41,39,قائمة الحزب الجمهوري
693,610,222,216,158,167,قائمة حزب الاتحاد الوطني الحر
139,195,51,58,63,47,قائمة حزب التيار الديمقراطي
596,1444,2248,506,2598,1561,قائمة حزب المؤتمر من أجل الجمهورية
16,15,15,14,15,13,قائمة حزب الغد
28,37,27,40,18,21,قائمة حزب تونس الزيتونة
159,293,123,169,77,68,قائمة حزب المبادرة
138,109,110,202,70,52,قائمة تيار المحبة
80,30,24,37,14,11,قائمة حزب اللقاء الدستوري
1037,1118,654,1147,647,1190,قائمة حركة نداء تونس
3447,5924,1861,3619,5098,1995,قائمة حزب حركة النهضة
30,63,36,33,33,21,قائمة الانفتاح والوفاء
