"الانتخابات التشريعية  2014",,,,,,,,,
"ورقة كشف نتائج دائرة تطاوين",,,,,,,,,
"مجموع الأصوات  المصرح بهابالدائرة الانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,الترتيب,,,,,,
"",غمراسن,الرمادة,الذهيبة,"تطاوينالشمالية","تطاوينالجنوبية",البئر الاحمر,الصمار,,
334,52,38,4,117,79,23,21,قائمة حزب التيار الديمقراطي,1
282,28,8,3,117,59,7,60,قائمة حزب التكتل,2
22 770,2 522,1 376,513,8 398,6 790,1 208,1 963,قائمة حزب حركة النهضة,3
2 672,252,224,170,850,581,274,321,قائمة حركة نداء تونس,4
326,15,13,3,79,192,9,15,قائمة تونس العزيزة,5
220,53,14,24,59,42,13,15,قائمة الجبهة الشعبية,6
84,1,8,7,39,21,2,6,قائمة حزب صوت شعب تونس,7
649,216,61,11,190,117,23,31,قائمة عدالة وسلام,8
1 284,97,109,169,374,363,109,63,قائمة حزب الاتحاد الوطني الحر,9
262,9,7,3,91,127,18,7,قائمة الحركة الدستورية,10
389,32,55,34,121,71,22,54,قائمة حزب المبادرة,11
141,50,3,2,33,36,1,16,قائمة الشعب يريد,12
181,26,8,3,67,59,3,15,قائمة حزب التحالف الديمقراطي,13
115,13,7,3,33,49,5,5,قائمة حزب العدالة والتنمية,14
77,7,8,3,30,25,0,4,قائمة حزب الجبهة الوطنية التونسية,15
400,257,6,5,45,55,24,8,قائمة أوفياء,16
221,16,11,3,66,89,13,23,قائمة الحرية,17
70,8,2,1,21,19,2,17,قائمة حزب المجد,18
1 270,165,33,27,436,317,193,99,قائمة حزب المؤتمر من أجل الجمهورية,19
280,27,8,2,149,81,5,8,قائمة حركة الشعب,20
108,2,2,2,75,20,3,4,قائمة حزب العمل التونس ي,21
1 000,112,16,43,400,280,31,118,قائمة الحزب الجمهوري,22
94,4,7,2,42,25,2,12,قائمة حركة الديمقراطيين الاشتراكيين,23
173,15,22,1,46,64,14,11,قائمة حركة التونس ي,24
115,5,8,1,43,40,12,6,قائمة حركة الوحدويين الاحرار,25
398,15,21,29,147,168,4,14,قائمة الثبات,26
121,8,8,5,31,60,5,4,قائمة الانصاف,27
232,21,4,6,135,48,7,11,قائمة حركة وفاء,28
236,16,41,10,83,43,26,17,قائمة تيار المحبة,29
184,3,10,4,71,78,6,12,قائمة حزب الأمان,30
122,38,11,2,40,20,7,4,قائمة حزب البناء الوطني,31
34 810,4 085,2 149,1 095,12 428,10 018,2 071,2 964,الأصوات المصرح بها لكل القائمات,
