غمراسن,الرمادة,الذهيبة,"تطاوينالشمالية","تطاوينالجنوبية",البئر الاحمر,الصمار,list
52,38,4,117,79,23,21,قائمة حزب التيار الديمقراطي
28,8,3,117,59,7,60,قائمة حزب التكتل
2522,1376,513,8398,6790,1208,1963,قائمة حزب حركة النهضة
252,224,170,850,581,274,321,قائمة حركة نداء تونس
15,13,3,79,192,9,15,قائمة تونس العزيزة
53,14,24,59,42,13,15,قائمة الجبهة الشعبية
1,8,7,39,21,2,6,قائمة حزب صوت شعب تونس
216,61,11,190,117,23,31,قائمة عدالة وسلام
97,109,169,374,363,109,63,قائمة حزب الاتحاد الوطني الحر
9,7,3,91,127,18,7,قائمة الحركة الدستورية
32,55,34,121,71,22,54,قائمة حزب المبادرة
50,3,2,33,36,1,16,قائمة الشعب يريد
26,8,3,67,59,3,15,قائمة حزب التحالف الديمقراطي
13,7,3,33,49,5,5,قائمة حزب العدالة والتنمية
7,8,3,30,25,0,4,قائمة حزب الجبهة الوطنية التونسية
257,6,5,45,55,24,8,قائمة أوفياء
16,11,3,66,89,13,23,قائمة الحرية
8,2,1,21,19,2,17,قائمة حزب المجد
165,33,27,436,317,193,99,قائمة حزب المؤتمر من أجل الجمهورية
27,8,2,149,81,5,8,قائمة حركة الشعب
2,2,2,75,20,3,4,قائمة حزب العمل التونس ي
112,16,43,400,280,31,118,قائمة الحزب الجمهوري
4,7,2,42,25,2,12,قائمة حركة الديمقراطيين الاشتراكيين
15,22,1,46,64,14,11,قائمة حركة التونس ي
5,8,1,43,40,12,6,قائمة حركة الوحدويين الاحرار
15,21,29,147,168,4,14,قائمة الثبات
8,8,5,31,60,5,4,قائمة الانصاف
21,4,6,135,48,7,11,قائمة حركة وفاء
16,41,10,83,43,26,17,قائمة تيار المحبة
3,10,4,71,78,6,12,قائمة حزب الأمان
38,11,2,40,20,7,4,قائمة حزب البناء الوطني
