"قفصةالشمالية","قفصةالجنوبية",سيدي عيش,بلخير,أم العرائس,المضيلة,المتلوي,القطار,القصر,السند,الرديف,list
13,75,21,7,22,7,12,19,19,25,10,"قائمة تونس الخضراء تنميةمستدامة"
15,338,12,33,49,27,50,24,104,49,42,قائمة حزب آفاق تونس
62,75,9,9,24,31,10,33,37,21,4,قائمة حزب الغد
7,107,2,86,6,9,6,812,38,20,2,قائمة الوئام
16,460,13,57,154,65,46,171,939,382,107,قائمة حركة الشعب
9,48,8,6,27,6,9,13,21,20,10,"قائمة القائمة المستقلة للامركزيةوالتنمية"
13,273,10,21,46,7,38,106,99,83,14,قائمة حزب التكتل
3,68,13,4,8,20,4,8,87,24,10,قائمة الوفاء بالعهد
117,70,8,4,15,40,7,10,24,26,13,قائمة حزب البناء الوطني
3,103,5,9,15,5,8,11,16,10,3,"قائمة حزب التكتل الشعبي منأجل تونس"
1,36,1,9,115,2,4,8,9,15,2,قائمة العدالة الجمهورية
3,85,22,5,8,13,10,14,22,15,5,قائمة حزب صوت شعب تونس
14,95,12,12,50,3,18,105,38,34,6,قائمة الاتحاد من أجل تونس
5,92,3,12,15,8,6,10,20,25,17,"قائمة حركة الديمقراطيينالاشتراكيين"
1059,8760,600,710,1824,855,2123,933,2407,2288,262,قائمة حركة نداء تونس
9,177,479,5,14,5,22,5,22,28,88,"قائمة اتحاد الشباب الديمقراطيالتونس ي"
819,7793,826,1363,2746,1613,3887,1352,3383,2429,2054,قائمة حزب حركة النهضة
5,42,4,7,15,81,9,15,15,14,5,قائمة حزب الخضر
2,35,5,10,108,11,33,11,36,28,9,قائمة الخضراء
8,72,2,56,178,17,21,23,28,57,8,قائمة حزب اللقاء الدستوري
15,325,12,5,26,16,34,14,54,29,6,قائمة حزب التحالف الديمقراطي
9,86,10,106,23,13,9,669,48,21,17,قائمة أمل قفصة
16,97,15,52,39,25,122,34,31,83,20,قائمة حزب العريضة الشعبية
80,1765,66,47,478,256,204,354,863,713,838,قائمة الجبهة الشعبية
18,394,13,9,35,23,59,29,79,40,5,قائمة الحزب الجمهوري
4,15,0,6,3,6,8,6,14,9,21,قائمة الحزب الجمهوري المغاربي
4,20,3,7,36,10,9,38,22,160,9,القائمة المستقلة أبناء الشعب
3,117,4,4,11,5,10,3,14,9,2,قائمة الشروق
9,231,85,56,110,77,750,20,55,27,10,القائمة المستقلة العدالة
49,1164,45,74,290,157,216,72,514,316,48,قائمة حزب الاتحاد الوطني الحر
4,37,10,12,24,21,76,9,11,19,9,قائمة حزب الانتماء الديمقراطي
4,75,7,7,19,10,14,10,27,4,6,قائمة حزب الانفتاح والوفاء
12,65,4,11,15,12,14,25,29,108,8,"قائمة حزب الجبهة الوطنيةالتونسية"
4,71,5,1,386,8,283,15,24,16,5,قائمة انشاء الله خير
41,62,10,7,84,636,65,9,105,44,5,قائمة إرادة
1,22,2,4,2,73,69,3,13,2,4,"قائمة الربيع العربي لتحقيقالسيادة الاقتصادية"
1,131,11,3,7,1,39,10,11,16,4,قائمة الأمانة
19,367,13,15,51,98,171,32,58,47,19,قائمة حزب التيار الديمقراطي
12,202,7,12,430,14,2625,48,130,40,6,القائمة المستقلة الإقلاع
7,59,7,12,26,6,13,11,24,9,14,قائمة حزب الأمان
2,19,3,4,861,9,14,3,11,8,8,قائمة أمانة وفاء
9,120,6,18,27,45,19,11,60,43,11,قائمة الصوت الحر
12,136,4,55,120,12,5,32,148,18,1,قائمة المنارة
0,28,2,5,49,13,18,8,9,7,4,قائمة الإنجاز والمقاومة
12,57,13,8,28,7,16,22,18,84,7,قائمة الأمل
8,197,6,10,17,8,14,13,24,23,10,قائمة قفصة دارنا الكل
7,170,32,9,15,5,20,12,29,17,2,قائمة الحركة الدستورية
5,41,8,18,18,213,20,13,36,24,4,قائمة العقد الثوري
10,93,1,6,46,10,20,32,77,25,9,قائمة حركة وفاء
7,66,9,4,31,39,1430,28,14,10,125,قائمة صوت الحق
17,533,14,37,86,42,92,106,241,158,76,"قائمة حزب المؤتمر من أجلالجمهورية"
4,119,36,5,134,6,250,15,18,19,4,قائمة القائمة المستقلة النخلة
3,102,5,4,14,6,7,11,19,15,4,قائمة شباب قفصة
4,38,2,8,8,3,13,8,14,15,2,قائمة الحقيقة
7,63,3,5,7,1,5,6,16,65,7,"قائمة حركة الديمقراطينالاجتماعين"
126,213,48,16,22,112,14,22,90,64,6,قائمة الياسمين
6,109,6,8,18,6,14,11,11,24,5,قائمة قفصة عراقة وتجديد
