وادي مليز,فرنانة,غار الدماء,عين دراهم,طبرقة,"جندوبةالشمالية",جندوبة,بوسالم,بلطة بوعون,list
95,274,192,238,208,203,380,313,370,قائمة حزب صوت الفلاحين
30,59,81,52,60,515,227,30,24,قائمة الخضراء أمنا
14,23,16,35,60,41,128,8,9,قائمة الانطلاق
27,39,31,27,51,30,41,31,23,قائمة الحزب الشعبي التقدمي
13,50,25,45,69,44,86,38,29,قائمة الكرامة
14,31,36,27,38,43,46,23,31,قائمة حرية وكرامة
12,26,20,25,50,24,24,22,35,قائمة حركة بديل
4,23,26,21,20,15,45,10,10,قائمة حزب النور للديمقراطية والتنمية
19,29,149,27,28,70,57,10,18,قائمة لدينا حلم
29,59,57,41,75,65,72,33,22,قائمة جندوبة أولا
14,45,28,20,25,18,55,51,121,قائمة فريڨة
5,20,31,20,33,17,21,222,54,قائمة أولاد بلاد
27,210,66,284,88,167,828,43,90,قائمة الاتحاد من أجل تونس
11,40,28,89,140,26,29,16,20,قائمة شمس أمل خمير
54,62,92,121,68,84,103,79,70,"قائمة الائتلاف الديمقراطي للعملوالتنمية"
1824,2801,4481,3425,3754,3746,7437,4606,2410,قائمة حركة نداء تونس
33,43,71,53,78,57,73,54,123,قائمة حزب الجبهة الوطنية التونسية
10,33,21,24,28,164,22,14,19,قائمة التنمية والعدالة والمساواة
7,20,138,34,29,21,32,13,18,قائمة آفاق تنموية
7,24,23,52,306,27,29,17,25,قائمة صدى الشمال
17,35,38,31,42,70,75,42,29,قائمة الحركة الدستورية
16,47,76,46,91,33,80,43,29,قائمة حركة وفاء
4,16,36,30,23,24,113,14,16,قائمة حركة الديمقراطيين الاجتماعيين
9,26,27,23,30,32,52,26,16,قائمة حركة التونس ي
18,105,120,43,59,48,85,44,23,قائمة تيار المحبة
33,113,168,35,55,74,257,52,41,قائمة حزب التحالف الديمقراطي
25,53,33,46,86,48,88,53,43,قائمة حزب المبادرة
6,23,17,20,31,55,45,15,13,قائمة حزب المؤتمر الشعبي
29,71,98,75,52,27,73,39,29,قائمة الشروق
34,92,133,65,108,86,193,501,137,قائمة الحزب الجمهوري
29,57,40,45,47,44,75,28,18,قائمة عندي أمل
24,84,54,60,81,68,141,34,45,قائمة حزب الغد
50,39,70,187,97,78,449,90,58,قائمة حزب آفاق تونس
14,46,42,81,66,59,94,33,26,قائمة الحزب الاشتراكي
7,34,30,43,36,19,82,13,21,قائمة سوق الأربعاء
17,61,29,48,44,39,88,35,28,قائمة حركة الديمقراطيين الاشتراكيين
10,24,22,29,1365,25,14,13,20,قائمة صوت المرجان
17,114,229,130,111,106,215,78,41,قائمة حزب المؤتمر من أجل الجمهورية
26,21,65,18,34,16,26,108,42,قائمة التضامن من أجل التنمية
13,23,26,33,23,40,50,10,25,قائمةالحزب الجمهوري المغاربي
43,26,27,30,32,28,37,5,14,قائمة حزب الأمان
5,19,14,13,30,21,33,10,13,قائمة حزب المجد
2,129,21,34,24,13,20,7,7,قائمة حزب البناء الوطني
12,25,60,15,23,19,19,11,7,قائمة بلاريجيا
6,42,26,34,48,33,49,55,55,قائمة حزب صوت شعب تونس
19,57,42,61,67,31,74,34,39,قائمة الشباب
812,1837,2126,1733,3082,1894,4794,2261,1290,قائمة حزب حركة النهضة
27,69,65,67,93,78,166,137,45,قائمة حزب التيار الديمقراطي
10,29,13,22,23,36,95,30,41,قائمة الخبرة... هي الحل
13,30,31,26,45,64,53,17,26,قائمة العبور
163,289,536,602,431,339,727,672,325,قائمة حزب الاتحاد الوطني الحر
28,12,18,22,20,13,32,9,5,"قائمة الربيع العربي لتحقيق السيادةالاقتصادية"
48,107,85,96,106,83,144,82,71,قائمة أحرار جندوبة
380,262,1120,430,683,513,1889,842,267,قائمة الجبهة الشعبية
53,79,126,318,156,163,580,49,28,قائمة حركة الشعب
62,76,156,114,103,120,194,150,121,قائمة حزب الوحدة
17,47,43,48,62,27,64,28,32,قائمة الحرية والتنمية
7,27,13,30,20,18,30,17,17,"قائمة الأخوة والوفاق لضمان السلموالرقي"
33,89,173,103,162,62,96,32,25,قائمة أمل جندوبة
14,52,47,100,137,51,119,226,122,قائمة حزب التكتل
