"مدنينالشمالية","مدنينالجنوبية",سيدي مخلوف,جرجيس,جربة ميدون,"جربة حومةالسوق",جربة أجيم,بني خداش,بن قردان,list
63,43,56,58,49,55,33,32,37,قائمة من أجل تحقيق سلطة الشعب
419,806,197,289,217,616,59,118,280,قائمة حزب التحالف الديمقراطي
50,60,42,64,28,41,20,42,40,قائمة حزب العدالة والتنمية
135,87,43,170,167,327,39,181,44,قائمة الحزب الجمهوري
117,62,31,43,28,42,23,38,46,قائمة حزب الغد
93,127,123,1422,322,640,68,36,235,قائمة حزب آفاق تونس
14,15,22,33,23,30,6,7,53,قائمة حزب الانفتاح والوفاء
14,13,14,20,18,21,7,7,78,قائمة اتحاد الشباب الديمقراطي التونس ي
53,59,33,127,282,883,110,25,45,قائمة حزب التيار الديمقراطي
23,32,21,33,25,18,15,21,79,قائمة حزب الأمان
254,505,182,2535,221,278,58,91,562,قائمة حركة الشعب
63,51,58,731,82,326,42,34,56,قائمة الاتحاد من أجل تونس
96,96,65,119,78,91,47,73,138,قائمة شباب مدنين
28,24,28,38,37,113,30,25,50,قائمة حزب المجد
9010,10898,4013,8627,7912,9854,3358,5021,10102,قائمة حزب حركة النهضة
29,25,17,39,41,41,54,21,42,قائمة تونس أقوى
23,40,9,19,20,22,2,13,56,قائمة الشعب يريد
4,7,6,15,16,44,7,9,11,"قائمة الربيع العربي لتحقيق السيادةالاقتصادية"
86,51,31,61,33,30,14,32,47,قائمة حزب صوت شعب تونس
129,130,54,36,58,87,8,24,50,قائمة الوحدة الوطنية المستقلة
1096,1219,950,3186,1738,3477,492,608,1568,قائمة حركة نداء تونس
101,118,30,877,400,696,119,48,399,قائمة الجبهة الشعبية
20,24,12,23,24,20,26,106,18,قائمة التآلف الوطني
62,112,48,88,74,107,25,56,329,قائمة حركة وفاء
449,382,223,565,749,808,163,177,876,قائمة حزب الاتحاد الوطني الحر
67,21,9,30,14,19,7,56,21,قائمة حزب الأصالة
28,25,50,30,20,24,39,15,18,قائمة حركة الديمقراطيين الاشتراكيين
575,1158,217,524,1091,1746,283,244,467,قائمة حزب المؤتمر من أجل الجمهورية
164,143,138,120,465,238,74,205,192,قائمة حزب المبادرة الوطنية الدستورية
168,636,82,221,43,44,12,33,1296,قائمة حماة الوطن
13,45,17,35,17,9,12,13,35,قائمة حركة الدستوريون الأحرار
29,48,17,422,87,105,86,15,43,قائمة حزب التكتل
129,169,47,160,153,140,19,263,144,قائمة تيار المحبة
17,29,17,22,82,258,21,18,39,قائمة حزب البناء الوطني
