صواف,زغوان,بئر مشارقة,الناظور,الفحص,الزريبة,list
19,67,29,57,71,43,قائمة حزب صوت الفلاحين
93,164,79,157,378,44,قائمة الحزب الجمهوري
12,30,13,25,26,14,قائمة اتحاد القوى الشبابية
21,36,29,26,56,109,قائمة حزب صوت شعب تونس
1,7,17,85,15,6,قائمة الربيع العربي لتحقيق السيادة الإقتصادية
52,179,33,349,207,79,قائمة  تونسنا
10,18,15,28,76,13,قائمة العدل أساس الملك (حركة التونس ي)
60,152,110,125,368,74,قائمة حزب تونس للجميع
84,169,65,571,566,154,قائمة حزب المبادرة
21,27,19,36,38,23,قائمة تحيا تونس
52,137,42,73,95,74,قائمة حركة وفاء
8,17,15,29,21,8,قائمة حركة الثقافة والتنوع
8,34,14,23,60,15,قائمة التحدي لمستقبل أفضل
14,145,74,53,47,37,قائمة التحالف الحر
21,47,19,57,48,233,قائمة شباب زغوان لحزب المستقبل
20,31,41,32,52,22,قائمة الأمل
60,498,202,166,283,182,قائمة الجبهة الشعبية
50,43,41,29,125,26,قائمة أولاد زغوان
39,252,92,102,118,82,قائمة حزب المؤتمر من أجل الجمهورية
8,24,43,18,59,12,قائمة الجبهة الوطنية للإنقاذ
74,373,70,463,128,92,قائمة حزب آفاق تونس
20,150,39,54,112,51,قائمة حزب التيار الديمقراطي
14,47,42,59,105,31,قائمة النسور
30,93,48,79,89,47,قائمة حزب البناء الوطني
15,35,18,25,184,8,قائمة حزب الأمان
16,26,22,53,37,18,قائمة النسري
15,26,22,36,36,15,قائمة حركة الديمقراطيين الاشتراكيين
69,261,64,85,139,83,قائمة الحزب الاشتراكي
18,84,28,36,35,280,قائمة العلم نور
28,42,17,176,38,10,قائمة  الشعب يريد
32,120,87,30,65,18,قائمة حزب التكتل
15,21,15,25,70,21,قائمة النصر
45,163,37,36,39,103,قائمة حزب التحالف الديمقراطي
27,71,212,49,67,42,قائمة شباب تونس
722,2495,1809,2175,2772,1747,قائمة حزب حركة النهضة
14,29,286,33,62,18,قائمة اتحاد الشباب الديمقراطي التونس ي
54,62,63,164,165,27,قائمة الحركة الدستورية
18,52,122,44,60,25,القائمة المستقلة لولاية زغوان
1409,5684,1564,1870,4801,2888,قائمة حركة نداء تونس
17,53,49,30,41,22,قائمة نداء قرطاج
269,1105,579,364,743,504,قائمة حزب الاتحاد الوطني الحر
89,115,110,121,163,173,قائمة  تيار المحبة
37,17,19,194,20,6,قائمة أولاد الشعب
