list_total,list
603,قائمة حركة الإقلاع إلى المستقبل
229,قائمة اتحاد القوى الوطنية
1535,قائمة حزب التكتل
185,قائمة الحزب الليبرالي التونس ي
581,قائمة حركة الديمقراطيين الاشتراكين
305,قائمة الحركة الديمقراطية للإصلاح والبناء
513,قائمة تحيا تونس
890,قائمة الحركة الدستورية
2131,قائمة تيار المحبة
12360,قائمة حزب آفاق تونس
137,قائمة حركة الربيع العربي
440,قائمة حزب السيادة الشعب
352,قائمة حزب المستقبل
289,قائمة الرافدة
102604,قائمة حركة نداء تونس
50820,قائمة حزب حركة النهضة
393,قائمة حزب العمل التونس ي
127,قائمة الأديب للتنمية والعدالة
650,قائمة حزب العريضة الشعبية
427,قائمة حزب حركة التونس ي
257,قائمة الصباح الجديد لتونس
217,قائمة حزب القيم الوطنية
561,قائمة الاتحاد من أجل تونس
621,القائمة البورقيبية
297,قائمة حزب التكتل الشعبي من أجل تونس
294,قائمة حزب العدل والتنمية
226,قائمة باب الأمل
400,قائمة الحزب الاشتراكي
4848,قائمة حزب الاتحاد الوطني الحر
2237,قائمة حزب التيار الديمقراطي
2458,قائمة الحزب الجمهوري
2887,قائمة حزب المؤتمر من أجل الجمهورية
568,قائمة إرادة الشعب
5502,قائمة الجبهة الشعبية
225,قائمة الشعب يريد
323,قائمة حزب صوت شعب تونس
295,قائمة حزب الأمان
142,قائمة اتحاد الشباب الديمقراطي التونس ي
212,قائمة الائتلاف المستقل لحركة نور تونس
1213,قائمة حزب التحالف الديمقراطي
180,قائمة حضر موت
8626,قائمة حزب المبادرة
346,قائمة جوهرة
