نابل,منزل تميم,قليبية,قربة,دار شعبان,حمام الاغزاز,بني خيار,الهوارية,الميدة,list
125,122,269,302,161,39,142,118,54,قائمة حزب التكتل
210,146,266,162,231,92,166,236,56,التحالف الديمقراطي
45,112,38,67,39,13,37,48,160,الجبهة الوطنية التونسية
292,156,169,359,173,47,142,92,49,حزب المؤتمر من أجل الجمهورية
28,39,15,77,18,13,29,36,34,حركة الشباب الوطني التونس ي
26,33,41,37,18,15,16,62,13,الدخلة للعمل والعدالة و التنمية
46,84,162,36,33,10,7,28,24,أتحاد ألشباب دمقراطي التونس ي
116,60,61,145,67,15,49,40,31,الإتحاد من أجل تونس
25,37,55,34,21,17,20,22,21,حزب الريادة
288,100,65,169,88,13,77,71,68,تونس العزيزة
116,109,77,182,62,26,83,83,67,حركة بديل
44,40,79,36,40,16,32,90,37,أمل تونس
54,90,59,78,45,27,37,200,69,قائمة الحزب الإشتراكي
92,60,30,43,65,13,37,11,26,قائمة حزب المجد
963,808,979,1747,874,215,736,526,197,الإتحاد الوطني الحر
33,53,67,43,23,10,18,50,14,تميّــــــــــــــــز
167,122,109,116,78,31,77,66,64,تيار المحبة
29,28,21,53,19,5,13,17,20,الحزب الليبرالي التونس ي
46,56,23,39,46,10,29,37,14,جبهة 17ديسمبر للتنمية
18928,8305,9712,9118,8087,2321,8370,5889,3009,حركة نداء تونس
1733,625,998,907,1069,109,656,240,798,افاق تونس
173,173,192,209,146,35,124,143,76,حركة وفاء
522,102,57,86,167,14,62,46,33,صوت شعب تونس
51,60,36,43,28,8,28,37,29,التحدي
403,255,275,327,267,66,604,153,58,الحزب الجمهوري
50,29,118,98,14,76,26,36,10,اللقاء الدستوري
37,97,25,35,14,8,27,32,22,قائمة الحركة الدستورية
90,72,52,102,55,25,46,73,35,حزب حركة الجمهورية
132,115,83,105,90,247,65,116,43,حركة الشعب
58,60,53,69,49,13,40,43,41,حركة الديمقراطيين الإشتراكيين
4959,3290,3217,4678,4555,1260,4210,1901,1298,حركة النهضة
754,1986,846,408,400,278,375,694,307,الجبهة الشعبية
602,445,285,378,584,56,453,125,61,التيَار الديموقراطى
36,39,16,29,41,8,10,27,12,الشعب يريد
395,105,85,121,122,27,95,369,52,حزب المبادرة
72,45,38,50,37,10,41,35,34,سامي بالحاج
31740,18058,18673,20488,17826,5188,16979,11792,6936,الأصوات المصرح بها لكل القائمات
